"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.321311917E0,-2.263143768E0,1.933080139E0,-6.354585571E0,7.017077477E0
1.331258917E0,-1.619631958E0,1.980681152E0,-5.412594452E0,5.986859294E0
1.341206917E0,-9.785151672E-1,1.208736420E0,-5.233417053E0,5.459596113E0
1.351153917E0,-8.213420105E-1,5.613327026E-1,-4.427193604E0,4.537591906E0
1.361100917E0,-3.935316467E-1,1.062789917E-2,-3.748804321E0,3.769418251E0
1.371048750E0,1.594184875E-1,-6.584806824E-1,-3.101849670E0,3.174977550E0
1.380995750E0,5.254074097E-2,-1.648671570E0,-2.298021240E0,2.828741787E0
1.390943750E0,-3.573069763E-1,-2.715353394E0,-1.406475220E0,3.078796010E0
1.400890750E0,-4.565505981E-1,-3.698059845E0,-3.981719971E-1,3.747349197E0
1.410837750E0,-5.224136353E-1,-4.708009644E0,5.545967102E-1,4.769260773E0
1.420785750E0,-6.334826660E-1,-5.881419525E0,1.328188019E0,6.062712209E0
1.430732750E0,-8.144563293E-1,-7.075336761E0,1.660197601E0,7.313001126E0
1.440680750E0,-1.416803741E0,-7.968978424E0,1.444496155E0,8.221831858E0
1.450627750E0,-1.994901581E0,-8.550818481E0,4.580474854E-1,8.792379457E0
1.460574750E0,-2.070644073E0,-8.782835999E0,-1.058149567E0,9.085452964E0
1.470522750E0,-1.736987915E0,-8.361462250E0,-2.389930115E0,8.868085697E0
1.480469750E0,-1.229393463E0,-7.343129883E0,-3.349135437E0,8.163925094E0
1.490417750E0,-8.282276917E-1,-6.084996185E0,-3.955075378E0,7.304502785E0
1.500364750E0,-5.812413025E-1,-4.882696381E0,-4.165537720E0,6.444398334E0
1.510311750E0,-4.784051514E-1,-3.859573975E0,-3.921694794E0,5.523121654E0
1.520259750E0,-5.331912231E-1,-2.978805542E0,-3.504063263E0,4.629906553E0
1.530206750E0,-5.800437927E-1,-2.314487000E0,-2.979404297E0,3.817086695E0
1.540154750E0,-7.601193237E-1,-1.789229279E0,-2.164947968E0,2.909660203E0
1.550101750E0,-7.908055115E-1,-9.859996033E-1,-1.122216339E0,1.690247936E0
1.560048750E0,-2.811154175E-1,1.604663086E-1,-6.391708374E-2,3.299404609E-1
1.569996750E0,4.412823486E-1,1.522184601E0,8.837622070E-1,1.814610622E0
1.579943750E0,1.202599182E0,2.924917603E0,1.662442932E0,3.572828610E0
1.589891750E0,1.595382385E0,4.456831970E0,2.414179688E0,5.313836630E0
1.599838750E0,1.867217102E0,6.059249725E0,2.887645111E0,6.967029584E0
1.609785750E0,2.003284149E0,7.677235107E0,2.951861572E0,8.465611202E0
1.619733750E0,1.677711182E0,9.361981659E0,3.101550293E0,1.000405066E1
1.629680750E0,8.105644226E-1,1.117096985E1,3.723207550E0,1.180295965E1
1.639628750E0,-2.309696960E-1,1.343441299E1,4.855902100E0,1.428693756E1
1.649575750E0,-1.028511200E0,1.583137848E1,6.377188568E0,1.709850619E1
1.659522750E0,2.020797729E-2,2.062351318E1,9.786349182E0,2.282766599E1
1.669470750E0,2.453697510E0,2.537987228E1,1.527842834E1,2.972522365E1
1.679417750E0,4.962480469E0,2.945305206E1,2.045346680E1,3.620017669E1
1.689365750E0,7.302115173E0,3.266028259E1,2.261811539E1,4.039299554E1
1.699312750E0,9.231153717E0,3.309542770E1,2.078427887E1,4.015604291E1
1.709259750E0,1.093251572E1,3.249891815E1,1.600471802E1,3.783980153E1
1.719207750E0,1.284164566E1,3.264501434E1,1.020293289E1,3.653361006E1
1.729154750E0,1.405008270E1,3.338687164E1,5.851781158E0,3.669238838E1
1.739102750E0,1.641950546E1,3.223950760E1,5.720204773E0,3.662931548E1
1.749049750E0,1.691332855E1,2.985047562E1,7.114854584E0,3.503901729E1
1.758996750E0,1.413959656E1,2.649819672E1,6.427483978E0,3.071473865E1
1.768944750E0,9.683513031E0,2.324501175E1,3.563040619E0,2.543218933E1
1.778891750E0,5.934559021E0,1.966909790E1,5.903723145E-1,2.055336815E1
1.788839750E0,3.443589020E0,1.671918228E1,-1.891316986E0,1.717458708E1
1.798786750E0,1.782193909E0,1.466365677E1,-2.085163879E0,1.491800769E1
1.808733750E0,1.819765778E0,1.181747543E1,2.956352234E-1,1.196042112E1
1.818681750E0,1.599573669E0,9.803413696E0,3.193159790E0,1.043368705E1
1.828628750E0,7.274871826E-2,8.811426544E0,4.256997528E0,9.786141123E0
1.838576750E0,-9.045689392E-1,7.371421051E0,3.425177307E0,8.178504317E0
1.848523750E0,-5.592370605E-1,6.147266693E0,1.461860046E0,6.343395674E0
1.858470750E0,2.671943665E-1,5.050048370E0,-2.323168945E-1,5.062445310E0
1.868418750E0,8.271798706E-1,3.441044312E0,-1.710193634E0,3.930620149E0
1.878365750E0,1.440005493E0,1.599124603E0,-3.650608521E0,4.237659482E0
1.888313750E0,1.238973541E0,-7.244934082E-2,-4.326902161E0,4.501376084E0
1.898260750E0,8.574169922E-1,-1.497635651E0,-3.560645599E0,3.956800921E0
1.908207750E0,7.659571838E-1,-3.076103210E0,-2.556833038E0,4.072652275E0
1.918155750E0,5.406756592E-1,-4.444856873E0,-1.690135345E0,4.785983731E0
1.928102750E0,8.577163696E-2,-5.436544647E0,-9.993218994E-1,5.528292569E0
1.938050750E0,-4.984634399E-1,-6.182144165E0,-3.077600098E-1,6.209838042E0
1.947997750E0,-1.175056458E0,-6.552324371E0,1.390608215E-1,6.658306861E0
1.957944750E0,-1.622026978E0,-6.537355499E0,2.525248718E-1,6.740308394E0
1.967892750E0,-1.841021576E0,-6.293811951E0,3.867956543E-1,6.568945135E0
1.977839750E0,-2.132166138E0,-5.692811737E0,3.620970154E-1,6.089774393E0
1.987787750E0,-2.557132416E0,-4.769082642E0,1.963916016E-1,5.414946454E0
1.997734750E0,-2.468666382E0,-3.980672150E0,-2.311193848E-1,4.689720742E0
2.007681750E0,-2.449057159E0,-3.257226562E0,-5.782475281E-1,4.116038879E0
2.017629750E0,-2.539319458E0,-2.506986694E0,-4.733157349E-1,3.599604614E0
2.027576750E0,-2.411335602E0,-1.593885498E0,1.007405090E-1,2.892258463E0
2.037524750E0,-1.971699829E0,-6.926097107E-1,3.134481812E-1,2.113186738E0
2.047471750E0,-1.421743469E0,-2.782713318E-1,4.092489624E-1,1.505414939E0
2.057418750E0,-5.522016907E-1,2.680924988E-1,5.754034424E-1,8.413616444E-1
2.067366750E0,3.535647583E-1,1.126108246E0,8.815168762E-1,1.473159809E0
2.077313750E0,1.350641327E0,2.051483917E0,1.085841980E0,2.685492704E0
2.087261750E0,2.309846649E0,3.202290802E0,1.179547119E0,4.120848132E0
2.097208750E0,3.280428314E0,4.593797150E0,1.496138763E0,5.839744290E0
2.107155750E0,4.156257019E0,6.138135681E0,1.919907532E0,7.657494824E0
2.117103750E0,3.640130310E0,8.096064148E0,2.281705170E0,9.165314061E0
2.127050750E0,1.854643250E0,1.059272232E1,1.811083832E0,1.090529653E1
2.136998750E0,9.991722107E-1,1.328008392E1,8.972341919E-1,1.334780893E1
2.146945750E0,1.887724457E0,1.637265289E1,1.333277435E0,1.653495979E1
2.156892750E0,3.305276642E0,1.992880783E1,4.316423950E0,2.065705088E1
2.166840750E0,5.446274414E0,2.338122849E1,9.126521301E0,2.568340206E1
2.176787750E0,7.821085968E0,2.600467300E1,1.353215973E1,3.034026616E1
2.186735750E0,7.954907684E0,2.764346512E1,1.571581879E1,3.277847892E1
2.196682750E0,6.279441833E0,2.931114716E1,1.488040604E1,3.346641931E1
2.206629750E0,3.828588409E0,3.124811920E1,1.331286575E1,3.418092213E1
2.216577750E0,4.234244843E0,3.348925873E1,1.288221130E1,3.613046703E1
2.226524750E0,5.683081970E0,3.444621872E1,1.369921234E1,3.750343749E1
2.236472750E0,6.872508545E0,3.332969055E1,1.493489273E1,3.716383547E1
2.246419750E0,8.524772644E0,3.135110504E1,1.388138351E1,3.533067144E1
2.256366750E0,8.867260437E0,2.918316330E1,1.003438339E1,3.210878662E1
2.266314750E0,7.356003113E0,2.700384521E1,3.789070587E0,2.824314951E1
2.276261750E0,6.085445251E0,2.537538162E1,-1.438807983E0,2.613451367E1
2.286209750E0,5.093158722E0,2.335293732E1,-2.195334778E0,2.400248824E1
2.296156750E0,4.263284454E0,2.080583405E1,1.152603149E-2,2.123813687E1
