"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.730361750E0,-7.125183105E0,-6.338868256E0,4.563410339E0,1.057233177E1
1.740364750E0,-7.868088226E0,-7.584577789E0,5.045557709E0,1.203703806E1
1.750367750E0,-8.212072906E0,-9.309889984E0,6.184838562E0,1.386955014E1
1.760370750E0,-8.211174774E0,-1.104373444E1,6.020330658E0,1.502104666E1
1.770373750E0,-7.523804169E0,-1.196806229E1,4.306694183E0,1.477801607E1
1.780376750E0,-6.953490143E0,-1.256951157E1,2.668650513E0,1.461045317E1
1.790379750E0,-6.061495056E0,-1.284643570E1,8.077203369E-1,1.422761556E1
1.800382750E0,-4.882995758E0,-1.284688477E1,-1.659898224E0,1.384345903E1
1.810384750E0,-3.565884705E0,-1.195099777E1,-3.348087616E0,1.291323244E1
1.820387750E0,-2.363135834E0,-1.091290649E1,-4.594545593E0,1.207417858E1
1.830390750E0,-1.480421448E0,-1.011551468E1,-5.615572357E0,1.166404466E1
1.840393750E0,-1.016685791E0,-9.449549561E0,-5.790558472E0,1.112916009E1
1.850396750E0,-1.023272095E0,-9.019793243E0,-4.799319763E0,1.026826305E1
1.860399750E0,-1.214274902E0,-8.650062103E0,-3.240910492E0,9.316734339E0
1.870402750E0,-1.385967865E0,-8.353079681E0,-1.603615265E0,8.617797225E0
1.880405750E0,-1.682650909E0,-8.166717224E0,8.816665649E-2,8.338726381E0
1.890408750E0,-2.153421936E0,-7.666756897E0,1.365460510E0,8.079657775E0
1.900411750E0,-2.498903503E0,-6.964267731E0,2.049537964E0,7.677639586E0
1.910414750E0,-2.526895294E0,-6.200256500E0,2.301913147E0,7.080055412E0
1.920417750E0,-2.153871002E0,-5.463039551E0,2.117346954E0,6.242364901E0
1.930420750E0,-1.483415222E0,-4.751718750E0,1.791474609E0,5.290437891E0
1.940423583E0,-9.316625977E-1,-4.145329742E0,9.934840393E-1,4.363343260E0
1.950426583E0,-4.022135925E-1,-3.965403900E0,-4.659809875E-1,4.012896977E0
1.960429583E0,6.316864014E-2,-4.144880676E0,-1.402433624E0,4.376167978E0
1.970431583E0,2.906954956E-1,-4.418511658E0,-1.454674988E0,4.660882798E0
1.980434583E0,3.525169373E-1,-4.893324280E0,-1.121916962E0,5.032652220E0
1.990437583E0,4.263134766E-1,-5.704337769E0,-1.213526459E0,5.847551541E0
2.000440583E0,2.670446777E-1,-6.785689087E0,-1.329684906E0,6.919895317E0
2.010443583E0,-2.336640930E-1,-8.187074890E0,-2.274370422E0,8.500326757E0
2.020446583E0,-4.906796265E-1,-9.968220978E0,-4.416266327E0,1.091373466E1
2.030449583E0,-6.668632507E-1,-1.149699188E1,-5.388045502E0,1.271442343E1
2.040452583E0,-9.342073059E-1,-1.226863724E1,-3.904031525E0,1.290866628E1
2.050455583E0,-1.294208679E0,-1.312156357E1,-2.157463531E0,1.336057841E1
