"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.173682042E0,-1.025966492E0,1.359023895E0,8.665929108E0,8.831640872E0
1.183630042E0,-1.157842255E0,1.192420349E0,9.212742004E0,9.361467845E0
1.193578042E0,-1.160686340E0,1.030906219E0,9.607770538E0,9.732379726E0
1.203526042E0,-1.120869141E0,9.074130249E-1,9.705517273E0,9.812074784E0
1.213473042E0,-1.021026764E0,9.095086670E-1,9.609117737E0,9.705918058E0
1.223421042E0,-7.436535645E-1,1.106049957E0,9.659562836E0,9.751077956E0
1.233369042E0,-4.342469788E-1,1.266815643E0,9.914632416E0,1.000466532E1
1.243316042E0,-2.174977112E-1,1.268611908E0,1.019275406E1,1.027370025E1
1.253264042E0,-1.124162292E-1,1.174906769E0,1.054841446E1,1.061424001E1
1.263212042E0,-4.415817261E-2,1.087937622E0,1.095751373E1,1.101147880E1
1.273160042E0,1.348695374E-1,1.140927429E0,1.130778534E1,1.136599817E1
1.283107042E0,2.769241333E-1,1.324745178E0,1.145507904E1,1.153475065E1
1.293055042E0,2.644999695E-1,1.373992767E0,1.149744095E1,1.158226941E1
1.303003042E0,1.591191101E-1,1.208287354E0,1.129625931E1,1.136181110E1
1.312951042E0,7.289840698E-2,1.029409332E0,1.083117645E1,1.088022891E1
1.322898042E0,-2.933898926E-2,1.032403107E0,1.039603134E1,1.044720942E1
1.332846042E0,-2.083666992E-1,1.188827820E0,1.016296600E1,1.023438353E1
1.342794042E0,-4.632865906E-1,1.269510040E0,1.008393036E1,1.017408186E1
1.352741042E0,-6.915618896E-1,1.198258209E0,1.023721161E1,1.033027503E1
1.362689042E0,-8.427474976E-1,1.023870850E0,1.051787796E1,1.060114577E1
1.372637042E0,-7.861651611E-1,8.427474976E-1,1.072280182E1,1.078456109E1
1.382585042E0,-6.387217712E-1,6.589297485E-1,1.075947556E1,1.079854009E1
1.392532042E0,-5.878276062E-1,5.246589661E-1,1.061981598E1,1.064900464E1
1.402480042E0,-6.569837952E-1,4.950205994E-1,1.034289185E1,1.037555227E1
1.412428042E0,-7.387138367E-1,5.528004456E-1,9.979297943E0,1.002185980E1
1.422375042E0,-7.646099854E-1,6.355783081E-1,9.698032837E0,9.748868094E0
1.432323042E0,-8.327183533E-1,6.517446899E-1,9.427695007E0,9.486813171E0
1.442271042E0,-8.912466431E-1,5.375321960E-1,9.333690491E0,9.391540854E0
1.452219042E0,-9.862989807E-1,3.748205566E-1,9.235345001E0,9.295422175E0
1.462166042E0,-1.152752838E0,2.173480225E-1,9.154662781E0,9.229514066E0
1.472114042E0,-1.390757904E0,9.310638428E-2,9.313482513E0,9.417209400E0
1.482062042E0,-1.644330597E0,-5.733078003E-2,9.571246490E0,9.711635769E0
1.492009042E0,-1.859133911E0,-2.516267395E-1,9.748927002E0,9.927803010E0
1.501957042E0,-1.903591461E0,-3.962260437E-1,9.960736542E0,1.014874022E1
1.511904667E0,-1.781894531E0,-4.363426208E-1,1.001163071E1,1.017832464E1
1.521852667E0,-1.566642151E0,-3.540138245E-1,9.845775604E0,9.975920542E0
1.531799667E0,-1.399140472E0,-1.893562317E-1,9.573641510E0,9.677192858E0
1.541747667E0,-1.402433624E0,7.649093628E-2,9.319020996E0,9.424267784E0
1.551695667E0,-1.573378143E0,3.159928894E-1,9.291627960E0,9.429195111E0
1.561643667E0,-1.825154572E0,3.778143311E-1,9.334139557E0,9.518408173E0
1.571590667E0,-1.933229828E0,3.441343689E-1,9.298064575E0,9.503147419E0
1.581538667E0,-1.799258423E0,2.902464294E-1,9.169931030E0,9.349289222E0
1.591486667E0,-1.498234406E0,2.827619934E-1,9.042845306E0,9.170480463E0
1.601433667E0,-1.155596924E0,3.682342529E-1,8.788973236E0,8.872263029E0
1.611381667E0,-7.958949280E-1,5.804928589E-1,8.648864594E0,8.704784860E0
1.621329667E0,-4.947212219E-1,8.611592102E-1,8.688681793E0,8.745257891E0
1.631277667E0,-3.390449524E-1,1.040336609E0,8.855884094E0,8.923224464E0
1.641224667E0,-4.132905579E-1,9.930349731E-1,9.138945465E0,9.202024329E0
1.651172667E0,-6.845265198E-1,7.104226685E-1,9.549691315E0,9.600514628E0
1.661120667E0,-9.864486694E-1,2.594105530E-1,9.996212769E0,1.004811647E1
1.671067667E0,-1.270408173E0,-2.055226135E-1,1.037612274E1,1.045562526E1
1.681015667E0,-1.376238098E0,-5.053491211E-1,1.056383240E1,1.066508153E1
1.690963667E0,-1.221759338E0,-5.613327026E-1,1.044048889E1,1.052670882E1
1.700911667E0,-8.484356689E-1,-3.369493103E-1,9.953701172E0,9.995476224E0
1.710858667E0,-4.017645264E-1,1.279838562E-1,9.377399597E0,9.386874763E0
1.720806667E0,-2.155517578E-2,6.682104492E-1,8.822204132E0,8.847499962E0
1.730754667E0,1.356179810E-1,1.067579956E0,8.359815674E0,8.428798093E0
1.740701667E0,-6.242019653E-2,1.181193695E0,8.131989441E0,8.217564548E0
1.750649667E0,-4.980143738E-1,1.009500732E0,8.083939362E0,8.161935166E0
1.760597667E0,-9.024732971E-1,7.399113464E-1,8.114775238E0,8.198262256E0
1.770545667E0,-1.044078827E0,6.030958557E-1,8.286318512E0,8.373583444E0
1.780492667E0,-9.907896423E-1,5.956114197E-1,8.510103149E0,8.588263660E0
1.790440667E0,-9.370513916E-1,6.206094360E-1,8.708590393E0,8.780818186E0
1.800388667E0,-8.572673035E-1,6.614744568E-1,8.866811371E0,8.932681544E0
1.810336667E0,-6.703060913E-1,6.670129395E-1,9.008267212E0,9.057764331E0
1.820283667E0,-4.803511047E-1,6.616241455E-1,9.187594299E0,9.223902249E0
1.830231667E0,-4.085005188E-1,6.212081909E-1,9.349557495E0,9.379072323E0
1.840179667E0,-5.496569824E-1,4.683760071E-1,9.304950256E0,9.332930845E0
1.850126667E0,-8.592132568E-1,2.324665833E-1,9.127868500E0,9.171165219E0
1.860074667E0,-1.169517975E0,1.990859985E-2,9.000184021E0,9.075873570E0
1.870022667E0,-1.387165375E0,-1.408570862E-1,8.955127716E0,9.063022725E0
1.879970667E0,-1.591041412E0,-2.418969727E-1,9.011410675E0,9.153985431E0
1.889917667E0,-1.689835968E0,-1.950444031E-1,9.189390564E0,9.345506239E0
1.899865667E0,-1.657503204E0,-7.125183105E-2,9.479786682E0,9.623863530E0
1.909813667E0,-1.544039154E0,4.490661621E-2,9.870623932E0,9.990760247E0
1.919760667E0,-1.480720825E0,1.245410156E-1,1.038809784E1,1.049383730E1
1.929708667E0,-1.463057556E0,1.326242065E-1,1.096424973E1,1.106222847E1
1.939656667E0,-1.494791565E0,3.906875610E-2,1.141601028E1,1.151352331E1
