"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.270757250E0,-1.794767761E0,-1.321152649E0,-1.904040527E0,2.931212372E0
1.280705250E0,-1.451681213E0,-1.570983124E0,-1.750759277E0,2.764149845E0
1.290652250E0,-8.949888611E-1,-1.586700439E0,-1.598525848E0,2.423614704E0
1.300599250E0,-2.206411743E-1,-1.536854095E0,-7.089257812E-1,1.706803680E0
1.310547250E0,1.395098877E-1,-1.379980316E0,5.108876038E-1,1.478111912E0
1.320494250E0,1.169218597E0,-7.661068726E-1,1.154698792E0,1.813097120E0
1.330441250E0,4.012256470E0,4.923262024E-1,1.444645844E0,4.292736736E0
1.340389250E0,8.383765869E0,2.218536530E0,2.294578400E0,8.970759417E0
1.350336250E0,1.308024948E1,4.566404114E0,3.653452606E0,1.432803856E1
1.360283250E0,1.626921799E1,8.650960236E0,6.246959381E0,1.945638888E1
1.370231250E0,1.422327255E1,1.471006027E1,1.095332245E1,2.320910657E1
1.380178250E0,2.584076385E0,2.048085983E1,1.782538193E1,2.727429763E1
1.390125250E0,-1.155342453E1,2.932177505E1,2.388014099E1,3.954123474E1
1.400073250E0,-2.071497299E1,3.922248642E1,2.568433914E1,5.125620766E1
1.410020250E0,-2.578732498E1,4.511887482E1,2.260868500E1,5.667320030E1
1.419967250E0,-2.682990692E1,4.916481125E1,2.025692551E1,5.955976496E1
1.429915250E0,-2.566802307E1,5.067008102E1,2.207474533E1,6.093930506E1
1.439862250E0,-2.310011307E1,4.976566177E1,2.545756073E1,6.048407818E1
1.449809250E0,-1.905282944E1,4.614753571E1,2.658396835E1,5.656246754E1
1.459757250E0,-1.313204178E1,4.037868210E1,2.533167252E1,4.944271556E1
1.469704250E0,-6.192622375E0,3.485920990E1,2.267379959E1,4.204300506E1
1.479651250E0,-5.496569824E-1,3.003998154E1,1.853325989E1,3.530133617E1
1.489599250E0,1.869013367E0,2.507121414E1,1.342228821E1,2.849941772E1
1.499546250E0,2.004182281E0,2.026156586E1,8.771459656E0,2.216949034E1
1.509493250E0,1.597627716E0,1.612895966E1,4.923112335E0,1.693909056E1
1.519441250E0,1.341959381E0,1.257579849E1,1.821711731E0,1.277772266E1
1.529388250E0,1.426982574E0,9.500743103E0,-1.895059204E-1,9.609178491E0
1.539335250E0,1.537303162E0,6.962022400E0,-1.218466187E0,7.233098697E0
1.549283250E0,1.274449768E0,4.888833618E0,-1.949994965E0,5.415477515E0
1.559230250E0,8.331674194E-1,2.979254608E0,-2.147883453E0,3.766102667E0
1.569177250E0,4.513114929E-1,1.325643311E0,-2.012415161E0,2.451698805E0
1.579125250E0,8.652008057E-2,-1.098715210E-1,-1.902992706E0,1.908124397E0
1.589072250E0,-3.435356140E-1,-1.660347290E0,-2.033970337E0,2.647981339E0
1.599020250E0,-4.526586914E-1,-3.082240448E0,-2.038311310E0,3.722877794E0
1.608967250E0,9.624984741E-2,-4.059109039E0,-1.700912933E0,4.402128466E0
1.618914250E0,8.725355530E-1,-4.700525208E0,-9.756710815E-1,4.879363645E0
1.628861250E0,1.360071716E0,-5.328319702E0,-2.487826538E-1,5.504786892E0
1.638809250E0,1.732347565E0,-5.787564697E0,2.980302429E-1,6.048615977E0
1.648756250E0,1.922452240E0,-6.086493073E0,5.782475281E-1,6.409024164E0
1.658704250E0,2.139351196E0,-6.329138489E0,6.936575317E-1,6.716842884E0
1.668651250E0,2.137704620E0,-6.519692230E0,4.294569397E-1,6.874634615E0
1.678598250E0,1.930535431E0,-6.502178650E0,-1.495390320E-1,6.784368516E0
1.688546250E0,2.061363373E0,-6.320606232E0,-6.855743408E-1,6.683509128E0
1.698493250E0,2.511776733E0,-6.086193695E0,-1.310824127E0,6.713347596E0
1.708440250E0,3.148253174E0,-5.783672791E0,-1.807341614E0,6.828532251E0
1.718387250E0,3.516936493E0,-5.450166321E0,-2.046693878E0,6.801625618E0
1.728335250E0,3.474125519E0,-4.910239105E0,-1.913171539E0,6.311911084E0
1.738282250E0,2.971321106E0,-4.299808502E0,-1.687890015E0,5.492365153E0
1.748230250E0,2.067350922E0,-3.821553040E0,-1.384470978E0,4.560149927E0
1.758177958E0,1.107097778E0,-3.460503845E0,-1.076112213E0,3.789296749E0
1.768124958E0,4.492158508E-1,-3.039130096E0,-7.432044983E-1,3.160768823E0
1.778072958E0,2.685415649E-1,-2.575394440E0,-3.553610229E-1,2.613628235E0
1.788019958E0,2.894979858E-1,-1.932631073E0,-1.516346741E-1,1.960067607E0
1.797966958E0,1.194515991E-1,-1.088686066E0,-1.791773987E-1,1.109779516E0
1.807914958E0,-3.939807129E-1,-2.237846375E-1,-1.047821045E-3,4.531020459E-1
1.817861958E0,-1.304088135E0,5.215155029E-1,1.142124939E-1,1.409137600E0
1.827808958E0,-2.431393890E0,1.440304871E0,5.086422729E-1,2.871388398E0
1.837756958E0,-3.187022552E0,2.736309814E0,1.136436768E0,4.351550606E0
1.847703958E0,-3.299738159E0,4.327650604E0,1.717827759E0,5.706817316E0
1.857650958E0,-2.223625946E0,6.347849579E0,2.333347778E0,7.119284970E0
1.867598958E0,-3.838018799E-1,8.747659149E0,2.692900085E0,9.160816303E0
